Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.137412,1.278153,1.259531,1.269965,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,1.225222,1.218502,1.228779,1.242215,1.238614
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.524566,1.292862,1.543035,1.508254,1.537209,1.540096,1.518033,1.504689,1.531356,1.539397,1.718336,1.787205,1.860587,1.937282,1.944976
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.401487,1.384696,1.348995,1.340644,1.337765,1.296418,1.278272,1.302488,1.290351,1.283926,1.286593,1.391288,1.413419,1.421572,1.425432
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.424216,1.360657,1.350138,1.377706,1.398468,1.408183,1.391692,1.617491,1.568978,1.567499,0.8850665,0.9129404,0.8714429,1.207127,1.187921
Andorra,AND,Rule of Law: Estimate,RL.EST,1.210473,0.9762172,0.8659215,1.182821,1.196158,1.224501,1.204553,1.407835,1.407764,1.409044,1.641953,1.575988,1.577925,1.60133,1.607738
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.563077,1.528182,1.329979,1.305506,1.325322,1.322938,1.324309,1.360453,1.433838,1.406642,1.165939,1.194477,1.176535,1.160507,1.069589
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.8566598,0.7499956,1.127545,1.154757,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,0.6399029,0.6896325,0.6937485,0.2420828,0.2766346
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,0.5590521,0.453247,0.416459,0.4052124,0.5056782,0.5023152,0.4928478,0.4868821,0.4859672,0.4905606,-0.0692469,0.227459,0.2654906,0.009863,-0.0060096
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.08571,0.8303484,0.7995317,0.8022588,0.8139328,0.7213244,0.9049994,0.9575883,0.9757881,0.9588634,0.9845507,1.004725,0.8786072,0.7478715,0.7261432
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.5910869,0.587315,0.5481927,0.5313625,0.6425917,0.6548098,0.6446683,0.6357366,0.6043823,0.6065512,0.5329666,0.3740782,0.3414612,0.2512497,0.411548
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.9226655,0.6685986,0.9316705,0.9067558,0.946843,0.9790636,0.9592275,0.9494721,0.9515464,0.8378081,-0.1772038,0.5898856,0.5088418,0.4432826,0.3933258
