Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Angola,AGO,Control of Corruption: Estimate,CC.EST,-1.313559,-1.296139,-1.220061,-1.289693,-1.284621,-1.404655,-1.32573,-1.344287,-1.268587,-1.3097,-1.44389,-1.394778,-1.439703,-1.412488,-1.144541
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.314578,-1.137153,-1.369493,-1.206412,-1.062213,-0.9603533,-1.117896,-1.153556,-0.9896317,-1.223171,-1.123669,-1.000103,-1.035903,-1.025313,-1.052086
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.062798,-0.8875439,-0.541986,-0.6660322,-0.3629115,-0.3472624,-0.2261823,-0.3692378,-0.3893225,-0.3912335,-0.333232,-0.5008978,-0.3158988,-0.3316221,-0.3190349
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-1.251539,-1.257796,-1.132907,-1.02466,-1.065344,-1.031473,-1.035929,-1.097776,-0.9697781,-1.054224,-0.9884589,-0.9091855,-1.00138,-1.044177,-0.999813
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.496279,-1.427661,-1.300314,-1.365904,-1.366982,-1.230835,-1.265287,-1.265381,-1.269548,-1.267904,-1.118136,-1.081932,-1.08732,-1.10426,-1.048023
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-1.28548,-1.234719,-1.252088,-1.185314,-1.119347,-1.126125,-1.120539,-1.125478,-1.076247,-1.113843,-1.145494,-1.177251,-1.142933,-1.09879,-0.9195936
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-1.496538,-1.387597,-1.434258,-1.056078,-1.034565,-1.06978,-1.057121,-1.087314,-0.8498433,-0.8870706,-0.8869383,-0.8083352,-0.8570897,-0.8317309,-0.9050215
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.8191851,-0.9113003,-0.8245271,-0.7045036,-0.7324244,-0.7912479,-0.7356325,-0.755215,-0.8041654,-0.7938247,-0.7657504,-0.7236189,-0.678659,-0.7334504,-0.7483993
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.36126,-1.863764,-1.505493,-1.540048,-1.505937,-1.544713,-1.425789,-1.404737,-1.379089,-1.627859,-0.8955632,-1.212018,-1.261937,-1.255888,-1.03248
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-1.126801,-1.072006,-1.001249,-0.9456931,-0.9163275,-0.8645244,-0.8470868,-0.8115228,-0.951405,-0.9147804,-0.9375781,-0.8990583,-0.7966801,-0.8072466,-0.8262727
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-1.01997,-0.9789066,-0.9039655,-0.8267857,-0.7501396,-0.7855526,-0.8029345,-0.7324304,-0.9293042,-0.8668169,-0.7776653,-0.75128,-0.6634919,-0.6712165,-0.6402364
Bangladesh,BGD,Voice and Accountability: Estimate,VA.EST,-0.6721458,-0.5699692,-0.4512365,-0.5734999,-0.442117,-0.2890779,-0.2680953,-0.3150689,-0.4019407,-0.4053864,-0.4739298,-0.5120468,-0.5852981,-0.6164584,-0.7284137
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,0.7965031,0.8192554,0.8159847,0.8810524,0.8581817,0.9099128,0.9126349,0.8384976,0.9398408,0.9015957,1.280399,1.022321,1.126504,1.568294,1.646514
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.0205903,0.3245951,0.2366175,0.2958726,0.2825854,0.4948203,0.5846536,0.6326249,0.5126127,0.4004478,0.2561472,0.406338,0.5005098,0.5712876,0.3588973
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.171562,1.283388,1.263383,0.5686632,0.7205909,0.803937,0.7422217,0.8264953,0.7763095,0.7846249,1.068039,0.974715,1.123297,1.116889,1.104605
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-0.819621,-0.2806116,-0.567003,-0.6922845,-0.7493685,-1.07056,-1.169393,-1.154382,-1.086905,-1.078863,-0.9980033,-0.7134356,-0.6651375,-0.3324665,-0.3346259
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.341372,0.3117011,0.1937875,0.3385213,0.3841602,0.2132208,0.1618682,0.1955957,0.2363134,0.2903239,0.379015,0.5223479,0.4935009,0.6275315,0.5520926
Bhutan,BTN,Voice and Accountability: Estimate,VA.EST,-0.965037,-1.072155,-1.058764,-0.8725919,-0.5054052,-0.4618089,-0.4169178,-0.4040294,-0.2809201,-0.1587836,-0.102953,-0.0348183,-0.0259746,0.0105119,0.0605407
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.7758362,-0.7362384,-0.4345672,-0.4037066,-0.5232219,-0.6303167,-0.4657613,-0.5694195,-0.7292001,-0.5899193,-0.6301294,-0.6963719,-0.7243935,-0.6573039,-0.62591
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.5872478,-0.6887374,-0.7167103,-0.5706812,-0.6245782,-0.6045188,-0.5023107,-0.472497,-0.3686716,-0.3865935,-0.5877074,-0.6519912,-0.5670627,-0.3831694,-0.3220994
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6806829,-0.9733916,-0.8028071,-0.8503005,-0.6955554,-0.5074582,-0.4154072,-0.4171265,-0.4580681,-0.3285934,-0.3331121,-0.2684872,-0.2488664,-0.2780149,-0.2428411
