Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.345281,-1.443609,-1.43289,-1.587331,-1.638287,-1.534796,-1.635723,-1.579179,-1.419888,-1.436761,-1.354784,-1.341994,-1.526352,-1.517341,-1.496648
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454683,-1.448488,-1.36014,-1.38493,-1.331396,-1.322968,-1.226363,-1.33461,-1.457285
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.296179,-2.070934,-2.221302,-2.410581,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.800609,-2.74673
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.339227,-1.132634
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.697143,-1.658668,-1.863189,-1.829666,-1.86438,-1.847092,-1.845436,-1.896632,-1.643165,-1.597314,-1.445648,-1.50404,-1.49819,-1.569692,-1.668478
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.203034,-1.12543,-1.110294,-1.057654,-1.168902,-1.375497,-1.404468,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.039843,-0.9924697,-0.9947197
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.4649507,-0.8500885,-0.5886191,-0.4631715,-0.5033103,-0.6156271,-0.6608168,-0.5935286,-0.8565331,-0.7441061,-0.6660711,-0.5508218,-0.5134378,-0.5541117,-0.3833744
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.3562629,-0.6576268,-0.6065888,-0.5326906,-0.4623681,-0.5754821,-0.5946886,-0.5458966,-0.5152873,-0.4894403,-0.4568181,-0.6196358,-0.5641903,-0.648205,-0.5659866
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2651068,0.4468158,0.5470105,0.3861226,0.3745913,0.4032981,0.2612601,0.3183564,0.3643676,0.3011894,0.0271398,-0.013514,-0.0020272,0.030853,-0.132421
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.4847811,-0.6539117,-0.4275719,-0.4441905,-0.4972941,-0.3465346,-0.3335557,-0.3462625,-0.3786036,-0.4007843,-0.5859138,-0.5630289,-0.5278944,-0.4722349,-0.3391147
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.5095385,-0.5415416,-0.5339224,-0.5172428,-0.5339108,-0.6538837,-0.6731734,-0.6632972,-0.5856726,-0.5686672,-0.4880224,-0.5360081,-0.6085925,-0.6246254,-0.6751704
Benin,BEN,Voice and Accountability: Estimate,VA.EST,0.0530563,-0.0299641,0.3627777,0.368181,0.3446475,0.3425233,0.314489,0.1663906,0.1244855,0.1554964,0.2663023,0.2961209,0.4133146,0.381125,0.2674125
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,-0.1356784,-0.1257476,-0.3099104,-0.3318754,-0.3048229,-0.3353375,-0.3506111,-0.3678603,-0.4788863,-0.5230929,-0.4648376,-0.277338,-0.1480786,-0.113755,-0.112395
Burkina Faso,BFA,Government Effectiveness: Estimate,GE.EST,-0.5146186,-0.5787717,-0.762337,-0.7534196,-0.4897978,-0.5855719,-0.5688464,-0.559046,-0.623989,-0.6608419,-0.5788296,-0.6194581,-0.5641686,-0.5799432,-0.5783429
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0823012,-0.0648551,0.1561723,0.3076967,0.120163,0.0349414,-0.1176371,-0.5553815,-0.5731292,-0.7633901,-0.7871286,-0.6111074,-0.8673759,-0.926845,-1.040907
Burkina Faso,BFA,Regulatory Quality: Estimate,RQ.EST,-0.3306739,-0.4010216,-0.3436106,-0.2646435,-0.1939826,-0.1119205,-0.156401,-0.179535,-0.1188603,-0.1749993,-0.3089368,-0.3713624,-0.3973829,-0.4435385,-0.3863249
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.5669359,-0.5200291,-0.4310352,-0.3993784,-0.3448814,-0.2071238,-0.1944903,-0.3589491,-0.4367974,-0.5304499,-0.5472528,-0.5233565,-0.4412792,-0.3984754,-0.4455683
Burkina Faso,BFA,Voice and Accountability: Estimate,VA.EST,-0.4337088,-0.4465201,-0.3418339,-0.3070092,-0.2834808,-0.2897423,-0.2529503,-0.2801855,-0.3049708,-0.255426,-0.3518519,-0.1143442,0.0133565,0.064641,-0.0432251
Burundi,BDI,Control of Corruption: Estimate,CC.EST,-0.8922578,-0.9300242,-1.095598,-1.160764,-1.090768,-1.129477,-1.165457,-1.187131,-1.452943,-1.409685,-1.258653,-1.25752,-1.245702,-1.283875,-1.450633
Burundi,BDI,Government Effectiveness: Estimate,GE.EST,-1.307576,-1.249581,-1.103347,-1.26863,-1.127049,-1.04617,-1.100945,-1.063229,-1.320103,-1.064957,-1.129147,-1.184265,-1.441686,-1.341107,-1.419982
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.523785,-1.524742,-1.427005,-1.375335,-1.638164,-1.272694,-1.625959,-1.8072,-1.704738,-1.350278,-0.7844071,-1.939511,-1.970721,-2.00754,-1.597951
Burundi,BDI,Regulatory Quality: Estimate,RQ.EST,-1.196419,-1.364591,-1.202598,-1.244897,-1.243566,-1.155625,-1.115116,-1.012377,-0.9454027,-0.8779285,-0.7070148,-0.7104732,-0.8252589,-0.8360441,-0.982583
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.53741,-1.153885,-0.9704405,-1.064636,-1.023133,-1.147297,-1.195465,-1.13863,-1.083531,-1.069999,-0.9660203,-1.167582,-1.460237,-1.395592,-1.496611
Burundi,BDI,Voice and Accountability: Estimate,VA.EST,-1.281001,-0.6342345,-0.7231436,-0.7140452,-0.6852906,-0.6894393,-0.9426936,-0.9276319,-0.8945184,-0.9530513,-1.041284,-1.272207,-1.549649,-1.568257,-1.651565
Central African Republic,CAF,Control of Corruption: Estimate,CC.EST,-1.385589,-1.278493,-1.210749,-1.189861,-1.115491,-0.9766904,-0.9296519,-0.9467087,-0.9927816,-1.090757,-1.160163,-1.308061,-1.280002,-1.173213,-1.233395
Central African Republic,CAF,Government Effectiveness: Estimate,GE.EST,-1.531203,-1.564509,-1.504425,-1.537028,-1.374411,-1.41218,-1.387743,-1.282366,-1.448529,-1.609883,-1.848333,-1.78465,-1.771704,-1.765036,-1.720417
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.424798,-1.430053,-1.851548,-1.854586,-1.842395,-1.905314,-2.020625,-1.789389,-1.852923,-2.154897,-2.699193,-1.904765,-1.789267,-2.006213,-2.281261
Central African Republic,CAF,Regulatory Quality: Estimate,RQ.EST,-1.204948,-1.340983,-1.260503,-1.293416,-1.206067,-1.255856,-1.159351,-1.191609,-1.077462,-1.172318,-1.393427,-1.439941,-1.427307,-1.48077,-1.367495
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.584722,-1.453295,-1.538241,-1.568371,-1.414786,-1.305087,-1.294276,-1.290684,-1.443371,-1.793081,-1.695697,-1.684804,-1.816499,-1.731486,-1.687692
Central African Republic,CAF,Voice and Accountability: Estimate,VA.EST,-1.309359,-0.9943755,-1.014794,-1.083287,-0.9880777,-1.003473,-1.104218,-1.087498,-1.241135,-1.474687,-1.391623,-1.225526,-1.086545,-1.107512,-1.188597
Chad,TCD,Control of Corruption: Estimate,CC.EST,-1.380428,-1.506754,-1.351849,-1.383073,-1.522943,-1.402205,-1.381054,-1.328819,-1.313718,-1.351272,-1.31569,-1.363967,-1.487879,-1.432357,-1.410393
Chad,TCD,Government Effectiveness: Estimate,GE.EST,-1.168478,-1.383892,-1.484556,-1.626121,-1.576653,-1.445783,-1.466302,-1.370537,-1.488766,-1.388831,-1.495927,-1.461036,-1.511895,-1.469803,-1.528847
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.539692,-1.443999,-1.832306,-1.865933,-1.966756,-1.728324,-1.524828,-1.318085,-1.044117,-1.089472,-1.568883,-0.9745526,-1.302365,-1.28733,-1.478995
Chad,TCD,Regulatory Quality: Estimate,RQ.EST,-0.854122,-1.236425,-1.102796,-1.133406,-1.175087,-1.06258,-1.068313,-1.025349,-1.072346,-0.9917988,-1.158972,-1.210751,-1.180022,-1.210235,-1.112313
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.40671,-1.510952,-1.548558,-1.538855,-1.616698,-1.513378,-1.503324,-1.47423,-1.466066,-1.382488,-1.138649,-1.183278,-1.37793,-1.295343,-1.305276
Chad,TCD,Voice and Accountability: Estimate,VA.EST,-1.230529,-1.307716,-1.418421,-1.451322,-1.445907,-1.398563,-1.360329,-1.350032,-1.342748,-1.374709,-1.331053,-1.335183,-1.35586,-1.372231,-1.45447
"Congo, Dem. Rep.",COD,Control of Corruption: Estimate,CC.EST,-1.454288,-1.418278,-1.525243,-1.357004,-1.244319,-1.38918,-1.437921,-1.427513,-1.312269,-1.318193,-1.300999,-1.285265,-1.337323,-1.41812,-1.503398
"Congo, Dem. Rep.",COD,Government Effectiveness: Estimate,GE.EST,-1.448674,-1.5719,-1.619065,-1.745683,-1.665454,-1.693531,-1.735644,-1.679297,-1.654935,-1.47771,-1.56138,-1.629201,-1.510932,-1.63523,-1.554787
