Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,5.853659,2.439024,3.902439,0.9708738,0.4854369,0.9569378,0.952381,0.9478673,2.369668,1.895735,5.288462,6.25,3.365385,3.846154,4.326923
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,17.24138,9.803922,5.365854,5.339806,4.368932,3.827751,4.784689,4.739336,6.635071,7.582938,8.173077,8.173077,9.615385,9.134615,7.692307
Afghanistan,AFG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,5.418719,3.431373,2.941176,2.912621,3.398058,3.349282,5.263158,4.265403,10.90047,10.90047,11.05769,14.42308,7.211538,6.730769,10.57692
Afghanistan,AFG,Rule of Law: Percentile Rank,RL.PER.RNK,2.870813,1.913876,0.4784689,0.9569378,0.4807692,0.9478673,0.4739336,0.4694836,1.408451,1.408451,4.326923,3.365385,5.769231,4.807693,4.326923
Afghanistan,AFG,Voice and Accountability: Percentile Rank,VA.PER.RNK,15.38461,14.90385,17.78846,18.75,14.42308,9.478673,9.952606,11.26761,14.08451,14.55399,16.25616,18.71921,20.68966,22.16749,20.68966
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,1.941748,2.427185,1.449275,1.449275,0.4807692,0.4739336,1.421801,1.421801,1.895735,1.421801,2.857143,0.952381,0.952381,0.4761905,0.4761905
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,27.31707,22.92683,22.92683,28.64078,33.49514,35.4067,36.19048,26.54029,27.48815,27.01422,34.61538,38.46154,40.86538,42.30769,35.09615
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,42.36453,31.37255,35.60976,42.23301,44.17476,47.84689,44.49761,47.8673,46.4455,45.49763,50,53.84615,52.88462,55.76923,57.69231
Albania,ALB,Regulatory Quality: Percentile Rank,RQ.PER.RNK,48.76847,43.62745,51.47059,55.33981,55.82524,58.37321,57.89474,57.34597,57.34597,57.8199,60.09615,59.13462,60.57692,62.01923,63.46154
Albania,ALB,Rule of Law: Percentile Rank,RL.PER.RNK,28.70813,28.70813,28.70813,30.62201,34.61538,38.38863,41.23223,41.31455,39.43662,39.43662,43.26923,44.23077,41.82692,38.94231,39.42308
Albania,ALB,Voice and Accountability: Percentile Rank,VA.PER.RNK,49.03846,51.44231,49.03846,51.92308,53.36538,54.02843,54.02843,52.11267,50.70422,51.17371,50.2463,52.70936,52.21675,54.18719,53.20197
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,30.09709,29.61165,29.95169,37.68116,43.26923,42.1801,38.38863,37.44076,40.28436,49.2891,61.42857,58.09524,58.09524,60.47619,58.57143
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,27.80488,40,36.58537,34.46602,33.00971,33.49282,36.66667,35.07109,37.44076,39.33649,32.21154,29.80769,27.88461,30.28846,28.36539
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,34.48276,39.21569,38.04878,32.52427,31.06796,35.4067,38.75598,36.01896,35.07109,35.07109,35.09615,35.57692,35.57692,30.76923,37.01923
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,30.04926,42.64706,29.41176,27.18447,21.35922,12.91866,9.569378,9.952606,9.00474,11.84834,8.173077,10.57692,10.09615,10.57692,8.173077
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,33.49282,28.22967,27.7512,24.88038,25.48077,23.22275,26.54029,24.41315,26.76056,30.98592,24.03846,19.23077,18.75,19.23077,22.11539
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,23.55769,25.48077,22.59615,20.19231,20.67308,17.53555,18.48341,20.18779,22.53521,23.94366,25.12315,24.63054,23.64532,23.15271,21.67488
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,10.67961,20.38835,15.45894,14.00966,14.90385,13.27014,11.84834,10.42654,9.478673,12.79621,9.523809,11.90476,12.38095,16.19048,18.57143
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,77.56097,77.56097,65.36585,66.50485,66.01942,68.42105,67.14286,66.82465,65.87678,65.40285,87.01923,87.01923,87.5,93.75,94.23077
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,53.69458,62.2549,62.92683,70.38835,68.93204,69.37799,68.89952,67.77251,68.24644,69.19431,70.19231,70.19231,71.63461,71.15385,72.59615
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,66.50246,62.2549,61.76471,63.1068,63.59223,64.11483,64.11483,62.55924,62.08531,63.50711,57.69231,58.65385,58.65385,42.78846,40.86538
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,75.59808,85.64594,85.64594,85.16747,85.09615,85.30806,84.83412,84.97652,85.44601,85.44601,87.5,87.98077,87.98077,88.46154,87.98077
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,64.42308,70.67308,65.38461,78.36539,79.32692,77.25118,78.19905,78.87324,80.75117,81.22066,..,..,..,..,..
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,72.33009,68.4466,68.11594,80.19324,80.76923,82.46445,80.09479,74.40759,78.67299,76.77725,89.04762,91.90476,92.38095,92.85714,92.38095
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,84.39024,88.29269,88.29269,88.83495,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,90.14778,88.23529,89.7561,90.29126,90.7767,91.86603,89.95216,90.52132,91.46919,91.94313,94.23077,95.67308,98.07692,98.55769,98.55769
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,89.16256,90.68627,91.17647,90.7767,90.7767,91.38756,89.95216,94.3128,93.83886,92.891,77.88461,78.36539,78.36539,85.57692,85.09615
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,87.08134,81.81818,75.59808,87.08134,86.53846,87.20379,86.72986,89.20188,89.20188,88.73239,90.38461,89.90385,90.86539,90.38461,90.86539
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,94.71154,94.71154,92.30769,92.30769,93.26923,92.41706,92.891,93.89671,93.89671,93.89671,87.68473,88.17734,87.19212,86.20689,83.25123
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,98.05825,99.02913,98.55073,98.55073,98.07692,94.3128,93.83886,95.7346,94.78673,93.83886,96.66666,97.61905,97.14286,97.14286,97.61905
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,7.804878,7.317073,7.804878,5.825243,4.854369,2.392344,3.809524,4.265403,7.109005,6.161138,3.846154,3.846154,5.769231,6.25,11.53846
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.403941,12.2549,5.853659,10.67961,13.59223,17.22488,11.00478,11.37441,17.06161,10.90047,13.46154,15.38461,13.46154,14.90385,13.94231
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,9.852217,10.29412,13.23529,16.50485,16.01942,15.311,16.26794,12.32228,18.48341,15.63981,16.82692,17.78846,13.46154,12.5,12.98077
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,5.741627,7.177033,9.090909,6.220096,7.211538,10.42654,9.00474,9.859155,8.450705,8.920188,11.05769,12.5,12.5,11.53846,13.94231
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,11.53846,12.01923,11.53846,14.42308,15.86539,14.69194,14.69194,14.55399,15.96244,15.96244,15.27094,15.27094,16.74877,17.73399,22.6601
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,16.50485,21.35922,27.53623,24.15459,31.25,32.70142,37.91469,34.59716,35.07109,35.07109,32.85714,28.09524,33.33333,32.85714,34.76191
Anguilla,AIA,Control of Corruption: Percentile Rank,CC.PER.RNK,79.02439,88.29269,88.29269,88.83495,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,81.7734,91.17647,89.7561,90.29126,90.7767,91.86603,89.95216,90.52132,91.46919,91.94313,77.88461,79.32692,87.98077,76.44231,76.44231
Anguilla,AIA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,78.32513,82.84314,91.17647,90.7767,90.7767,91.38756,89.95216,90.04739,88.6256,89.09953,77.88461,78.36539,78.36539,77.88461,77.40385
Anguilla,AIA,Rule of Law: Percentile Rank,RL.PER.RNK,86.1244,93.30144,92.3445,92.82297,92.78846,89.09953,88.6256,88.26291,88.26291,88.26291,59.13462,56.73077,51.92308,51.44231,51.44231
Anguilla,AIA,Voice and Accountability: Percentile Rank,VA.PER.RNK,76.44231,75.48077,80.28846,78.36539,79.32692,77.25118,78.19905,78.87324,80.75117,81.22066,..,..,..,..,..
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,74.27184,90.29126,89.37198,89.37198,89.42308,78.67299,95.7346,99.52607,99.52607,99.52607,91.90476,94.7619,95.2381,96.66666,94.28571
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,79.51219,74.63415,84.39024,84.95145,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,74.03846,75.48077,74.51923,62.98077,63.46154
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,71.42857,66.66666,67.31707,66.50485,68.93204,69.37799,68.89952,67.77251,68.24644,69.19431,51.92308,62.5,64.42308,53.84615,52.88462
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,68.96552,67.15686,66.17647,68.4466,70.87379,72.2488,73.68421,72.98578,72.03792,71.09005,70.19231,65.86539,65.38461,63.94231,66.82692
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,78.94736,70.33493,78.94736,80.38277,81.73077,81.51659,80.56872,79.81221,79.34272,74.64789,49.51923,70.67308,70.19231,66.82692,65.38461
Antigua and Barbuda,ATG,Voice and Accountability: Percentile Rank,VA.PER.RNK,66.82692,64.90385,67.78846,64.42308,64.42308,66.82465,62.08531,62.9108,67.13615,66.66666,66.99507,68.47291,67.98029,68.47291,69.45813
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,84.46602,73.30097,71.98067,75.84541,75,71.56398,79.14692,79.62085,80.56872,79.62085,81.42857,86.19048,75.71429,71.42857,70.47619
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,40,43.41463,42.92683,45.14563,39.32039,39.71292,43.33333,44.07583,39.33649,40.28436,35.09615,33.65385,47.11538,47.59615,54.32692
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,55.17241,50.98039,55.12195,53.39806,50.48544,45.93301,49.2823,49.76303,46.91943,45.97157,46.63462,50,60.09615,58.65385,54.80769
Argentina,ARG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,23.64532,31.86275,26.47059,25.72816,23.30097,22.48804,23.92344,25.59242,20.85308,18.00948,12.5,17.30769,33.65385,41.34615,42.30769
