Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,211.381969507195,242.031379173351,263.733734678911,359.693480030525,364.660465388571,438.076034406941,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,31.74112,..,..,..,..,..,..,43.01972
Afghanistan,AFG,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,..,..,..,..,2.5,..,..,..,..,..,3.9,..,..,..,..
Afghanistan,AFG,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,..,..,..,..,1.4,..,..,..,..,..,2,..,..,..,..
Afghanistan,AFG,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,36.1814079289257,86.9144956178781,105.114895021367,138.488665282833,165.019173240864,154.762511803263,171.691769863709,179.960775424295,180.806117279197,164.883469961576,172.938778970021
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54008654749,4114.14015001395,4094.36211924475,4437.17806741261,4247.61427862374,4413.0817427964,4578.66672031333,3952.82945832578,4124.10890718622,4532.89016212124,5268.84850355919
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,95.93864,..,..,96.8453,97.24697,..,..,..,..,..,98.14115
Albania,ALB,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,..,28.4,..,33.3,..,..,..,..,..,23,..,..,..,..,..
Albania,ALB,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,..,37,..,12.4,..,..,..,..,..,12.4,..,..,..,..,..
Albania,ALB,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,..,..,..,..,..,..,..,..,1100.50680636768,1085.47967829051,1033.60704725669
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2609.94560777437,3113.10109432814,3478.81854327462,3950.56160744508,4923.54009872171,3883.37814284703,4480.72453900113,5455.74133764262,5592.32609806051,5499.58148704572,5493.02558996263,4177.86751715913,3946.4214445883,4044.29837226523,4114.71506136896
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,72.64868,..,75.13605,..,..,..,..,..,..,..,..,..,81.40784
Algeria,DZA,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,..,..,..,28.6,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,..,..,..,8.9,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,8578.94472277609,8444.98169974145,8391.56106721708,8909.44915617236,9792.66680581646,11961.2582255703,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
