Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,76.5515975027543,81.8593328007912,85.1974862025113,76.8020415074259,76.5567241420429,76.422812355706,77.555684495968,77.6672597227363,77.480679874313,79.1479931661178,83.623900117405,91.4435143761777,98.4928263710105,104.332411267386,107.282549411734
Andorra,AND,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,8.23933686585174,13.1119479630264,18.0460039756522,22.4057858836051,24.6500202713982,27.1610054106532,29.0139610889413,30.7628929991522,32.6410035546605,34.3353059152698,36.3197959930819,39.3457332940226,42.032679146668,44.5240970896482,46.311975690206
Andorra,AND,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,686.80505393788,943.317372562599,1116.13912916884,978.037487310273,1098.30457121937,2025.35539859763,2833.22768024632,3415.54005792133,5194.40043632964
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.8379543894637,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,86.4344246167258,94,95.9,96.91,97.9306371220021,91.5674670273926,..
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,67.2176857199761,105.566807831584,133.21846585413,133.745507342965,159.949412742836,155.54031309801,190.81428636343,197.201214525002,140.894158767379,124.959569911272,129.687128627298,188.10251587115,190.421784252118,192.81956699432,..
Antigua and Barbuda,ATG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2.06881099382593,7.12084944454674,1.8632714258077,2.69678432866018,5.83861259763224,18.4607935812602,8.08719952742309,6.72246311048368,14.456525345928,17.0975567113947,11.6181586396145,10.6876429472244,9.79720079977149,9.43139186385262,..
Antigua and Barbuda,ATG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,681.601308674513,817.899678442181,519.859748476369,710.258315485817,777.857003954106,694.696791569587,804.0030890645,890.742564919414,841.2437945288
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.2665437161785,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76,..
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,99.6475485380354,103.384950665294,108.128210722574,112.214735926972,119.187434637621,126.16430929969,129.636369001367,..,131.630265210608,134.549578805533,134.619461522154,135.133840005367,..,..,..
Aruba,ABW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,7.05206761396437,12.2701962391659,13.8375944621854,15.802888700085,18.149529390872,18.5303829283919,18.90153340743,..,..,18.6120454831861,18.5017441748415,18.2095245397303,..,..,..
Aruba,ABW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,88.5225584986574,127.393528408757,253.510140405616,426.526042323016,568.543180372733,757.132862441418,1172.85834159738,977.544938594993,1152.62884406443
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.661226932496,93.542453865048,97.17,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,82.8988479625571,91.285097930772,96.2667266482425,101.643002237867,103.692610101442,102.064972078564,101.558682028298,105.550620926852,106.261156373565,107.246154823284,106.202533061789,107.677834937609,109.431295231959,111.708051619264,113.578710580609
Australia,AUS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,5.09063313944829,9.99081202108775,19.0000118384689,..,24.9152903566529,24.0036585235217,24.8705927989297,24.6339504554996,25.0393512943707,25.7192963912615,27.6991123739767,28.530238919441,30.3923155828582,32.2233982058702,30.6850082688868
Australia,AUS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,1402.79369546223,2171.39426528817,3187.89942492269,3505.12572806905,3938.58564985066,4574.11080242501,9810.21505311893,21544.7937676257,32890.8395998795
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,63,66,69.45,71.67,74.25,76,79.4876977139029,79,83.453497167,84,84.560519347399,86.54,86.54504885,..
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,97.2640825722407,104.98385562751,112.017088489879,119.224363243629,129.664430946258,136.563480460159,145.553795867252,154.049523386819,159.816951488122,155.11578811548,150.345713989229,155.215471051983,126.661469635034,123.119295783479,123.535268059385
Austria,AUT,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,10.5880570367679,14.2240099834619,17.2835331017678,19.5098786502388,20.727607350784,22.4363980731101,24.3806472548169,24.8145709097331,25.0546121622017,26.0922240029995,27.3817922572788,28.2935384033941,28.8466122293036,28.4719749121901,28.3544031595517
Austria,AUT,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,690.149608939135,1068.4439268925,1613.40623020831,1857.46801554702,2345.32706103046,3081.90763093797,4449.98024418463,7431.71463561626,16692.707400229
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,80.9958249574764,83.9401419315026,84.32374257,87.93558659,87.4791372262556
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,58.328786367884,70.1138032192428,76.4234985635873,110.850976172904,104.180911950326,102.633837141451,120.68929571592,83.0946275912319,82.5118817109664,78.165640345454,84.9471040085475,83.1560691170104,95.308655041939,92.6091341305287,98.9508268138171
"Bahamas, The",BHS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,4.01481369985011,4.11932561511302,5.01188703241067,6.07607242678333,7.419671148536,9.0356517659981,6.95944689554913,4.30949613157646,21.433836472452,19.7429521555469,20.8205961152946,21.6506416252011,22.5248061810388,22.7549082526751,22.5774497778999
"Bahamas, The",BHS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,..,..,..,..,..,..,366.257022274062,414.375780430895,530.826439007217,620.969147638138,739.275779544725,1002.12182594614,1053.102285867,1508.7973889423,2357.12063063997
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,22,25,26,27,31.54,33.88,43,65,71.7482028146963,72,76.92,78,80,85,..
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,78.2995358163703,86.2723861964722,94.6802960712341,107.728403475561,129.259734748677,118.302454863654,126.283384104573,132.507817933875,163.384191934422,168.071706457961,174.316112493685,183.62453356815,210.049221765868,158.256808890579,133.34093686562
