Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.6991984,-0.7861931,-0.803845,-0.687789,-0.5937066,-0.5384951,-0.5250779,-0.6830084,-0.7265007,-0.6986033,-0.5481988,-0.4790328,-0.405266,-0.418309,-0.5218667
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2827555,-0.208207,-0.2677997,-0.3169199,-0.0855579,0.0102911,0.0132704,0.0837741,0.114788
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4283776,-0.5071405,-0.5083324,-0.203224,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3783687,0.3821
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223032,0.2817102
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.6877728,-0.7363358,-0.684769,-0.6462957,-0.5886946,-0.5004299,-0.407376,-0.4553711,-0.5203165,-0.5180176,-0.337862,-0.3282292,-0.3288673,-0.401743,-0.392243
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.0072375,0.0036718,0.0758899,0.1130085,0.1749391,0.1414773,0.1238216,0.0623338,0.0220641,0.0488926,0.1437607,0.1571487,0.1699492,0.202283,0.2063695
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.679478,-0.482172,-0.5213351,-0.5599289,-0.5945694,-0.5778834,-0.5248498,-0.5445848,-0.5032176,-0.4734841,-0.600029,-0.6455669,-0.6778925,-0.6041752,-0.636465
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.5726308,-0.4675675,-0.4726413,-0.5657254,-0.6265267,-0.5829369,-0.4795416,-0.5646155,-0.5323191,-0.5341949,-0.4775529,-0.5008814,-0.5311597,-0.5891593,-0.4439246
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.359521,-0.9152133,-1.126453,-1.14836,-1.093989,-1.197078,-1.259368,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9156688,-0.7937849
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-0.5441265,-0.3833986,-0.5715542,-0.622034,-0.7946138,-1.073803,-1.171034,-1.189574,-1.276868,-1.16597,-1.282962,-1.173605,-1.171879,-1.196304,-1.263752
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.6209092,-0.7508321,-0.7085913,-0.7727457,-0.7414688,-0.7935362,-0.7849475,-0.8076658,-0.7722811,-0.6893736,-0.7731679,-0.8639446,-0.857401,-0.8639383,-0.7753089
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-0.8020591,-0.715686,-0.9168755,-0.9841224,-0.9797122,-1.038431,-1.022338,-1.004121,-0.9060266,-0.8933532,-0.8151981,-0.8490695,-0.8631691,-0.9048766,-0.9809838
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,0.807996,0.7969421,0.3059877,0.3136365,0.3252695,0.3524871,0.3329735,0.3177396,0.3066832,0.3099391,1.225222,1.218502,1.228779,1.840531,1.845534
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,-0.1096907,0.2305025,0.2544963,0.487176,0.5056782,0.5023152,0.4928478,0.4868821,0.4859672,0.4905606,0.441491,0.4874166,0.5313401,0.5605542,0.5514148
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7376288,0.7464869,0.7040941,0.9679514,0.9841928,0.9456341,0.9191467,0.9339902,0.9529908,0.9289858,1.080683,1.181357,1.193236,1.218604,1.205116
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,0.506223,0.3719929,0.3619615,0.3774178,0.3906331,0.4036857,0.3956605,0.3902979,0.3632333,0.366314,0.1808667,0.1724523,0.1366879,-0.2539806,-0.2858895
American Samoa,ASM,Rule of Law: Estimate,RL.EST,0.8533667,1.11975,1.080184,1.105124,1.127511,1.13165,1.117741,1.098715,1.102443,1.108083,1.410083,1.34524,1.340423,1.357684,1.363964
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,0.503726,0.6543325,0.5484632,0.9721289,0.9671982,0.9638122,0.9882845,1.009052,1.025672,1.004767,..,..,..,..,..
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.4249913,-0.3881924,-0.3412537,-0.3402916,-0.4355765,-0.4449961,-0.3614692,-0.3661579,-0.4431399,-0.432282,-0.5416201,-0.5470577,-0.2840413,-0.255946,-0.0834675
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.0575691,-0.1242145,-0.0455042,-0.0159589,-0.1468119,-0.3182648,-0.16279,-0.1200561,-0.2385752,-0.2775489,-0.1591353,-0.0750081,0.1621292,0.149542,0.0259878
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6099557,-0.0417681,0.0030557,0.0988585,-0.0852222,-0.2324056,-0.0847979,0.1589937,0.1030405,0.0653143,-0.0051219,0.0147854,0.2046255,0.1694364,0.0199319
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.7137598,-0.5483672,-0.6406317,-0.6682156,-0.7375205,-0.8450356,-0.7623686,-0.7222099,-0.9292172,-0.957261,-1.074257,-0.9114419,-0.4696253,-0.2911722,-0.2430697
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.8073725,-0.5546548,-0.568944,-0.5916041,-0.6766081,-0.6754778,-0.590509,-0.5608934,-0.6796814,-0.7076761,-0.8860345,-0.770812,-0.3936059,-0.2456109,-0.2400078
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.3620409,0.2692317,0.4034365,0.4486213,0.3588959,0.2800475,0.3616894,0.3449418,0.2952099,0.2769879,0.3453205,0.4117876,0.4925631,0.527113,0.5653015
